,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,624.0
2021-01-05,628.0
2021-01-06,632.0
2021-01-07,640.0
2021-01-08,654.0
2021-01-09,654.0
2021-01-10,654.0
2021-01-11,660.0
2021-01-12,666.0
2021-01-13,664.0
2021-01-14,668.0
2021-01-15,660.0
2021-01-16,660.0
2021-01-17,660.0
2021-01-18,664.0
2021-01-19,658.0
2021-01-20,658.0
2021-01-21,670.0
2021-01-22,662.0
2021-01-23,662.0
2021-01-24,662.0
2021-01-25,660.0
2021-01-26,662.0
2021-01-27,650.0
2021-01-28,648.0
2021-01-29,660.0
2021-01-30,660.0
2021-01-31,660.0
2021-02-01,666.0
2021-02-02,662.0
2021-02-03,688.0
2021-02-04,698.0
2021-02-05,718.0
2021-02-06,718.0
2021-02-07,718.0
2021-02-08,714.0
2021-02-09,726.0
2021-02-10,714.0
2021-02-11,714.0
2021-02-12,706.0
2021-02-13,706.0
2021-02-14,706.0
2021-02-15,700.0
2021-02-16,698.0
2021-02-17,702.0
2021-02-18,700.0
2021-02-19,698.0
2021-02-20,698.0
2021-02-21,698.0
2021-02-22,704.0
2021-02-23,696.0
2021-02-24,688.0
2021-02-25,736.0
2021-02-26,750.0
2021-02-27,750.0
2021-02-28,750.0
2021-03-01,752.0
2021-03-02,764.0
2021-03-03,768.0
2021-03-04,746.0
2021-03-05,738.0
2021-03-06,738.0
2021-03-07,738.0
2021-03-08,748.0
2021-03-09,738.0
2021-03-10,754.0
2021-03-11,758.0
2021-03-12,750.0
2021-03-13,750.0
2021-03-14,750.0
2021-03-15,744.0
2021-03-16,758.0
2021-03-17,756.0
2021-03-18,756.0
2021-03-19,754.0
2021-03-20,754.0
2021-03-21,754.0
2021-03-22,758.0
2021-03-23,750.0
2021-03-24,746.0
2021-03-25,728.0
2021-03-26,738.0
2021-03-27,738.0
2021-03-28,738.0
2021-03-29,736.0
2021-03-30,746.0
2021-03-31,744.0
2021-04-01,744.0
2021-04-02,744.0
2021-04-03,744.0
2021-04-04,744.0
2021-04-05,744.0
2021-04-06,772.0
2021-04-07,784.0
2021-04-08,798.0
2021-04-09,796.0
2021-04-10,796.0
2021-04-11,796.0
2021-04-12,788.0
2021-04-13,788.0
2021-04-14,790.0
2021-04-15,794.0
2021-04-16,796.0
2021-04-17,796.0
2021-04-18,796.0
2021-04-19,812.0
2021-04-20,818.0
2021-04-21,820.0
2021-04-22,856.0
2021-04-23,862.0
2021-04-24,862.0
2021-04-25,862.0
2021-04-26,880.0
2021-04-27,896.0
2021-04-28,898.0
2021-04-29,942.0
2021-04-30,942.0
2021-05-01,942.0
2021-05-02,942.0
2021-05-03,960.0
