,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,112.5
2021-01-05,113.5
2021-01-06,113.5
2021-01-07,115.0
2021-01-08,111.5
2021-01-09,111.5
2021-01-10,111.5
2021-01-11,110.0
2021-01-12,110.0
2021-01-13,111.0
2021-01-14,111.0
2021-01-15,112.0
2021-01-16,112.0
2021-01-17,112.0
2021-01-18,114.0
2021-01-19,112.5
2021-01-20,111.5
2021-01-21,110.5
2021-01-22,109.0
2021-01-23,109.0
2021-01-24,109.0
2021-01-25,108.0
2021-01-26,108.0
2021-01-27,108.5
2021-01-28,107.0
2021-01-29,107.0
2021-01-30,107.0
2021-01-31,107.0
2021-02-01,109.5
2021-02-02,113.0
2021-02-03,117.0
2021-02-04,116.5
2021-02-05,120.5
2021-02-06,120.5
2021-02-07,120.5
2021-02-08,118.0
2021-02-09,120.5
2021-02-10,120.0
2021-02-11,116.0
2021-02-12,116.5
2021-02-13,116.5
2021-02-14,116.5
2021-02-15,117.5
2021-02-16,117.5
2021-02-17,116.0
2021-02-18,113.5
2021-02-19,114.5
2021-02-20,114.5
2021-02-21,114.5
2021-02-22,112.5
2021-02-23,113.5
2021-02-24,116.0
2021-02-25,118.5
2021-02-26,112.5
2021-02-27,112.5
2021-02-28,112.5
2021-03-01,117.0
2021-03-02,121.0
2021-03-03,122.0
2021-03-04,121.5
2021-03-05,123.0
2021-03-06,123.0
2021-03-07,123.0
2021-03-08,130.5
2021-03-09,132.0
2021-03-10,131.0
2021-03-11,130.0
2021-03-12,131.0
2021-03-13,131.0
2021-03-14,131.0
2021-03-15,131.5
2021-03-16,130.5
2021-03-17,132.5
2021-03-18,132.5
2021-03-19,132.5
2021-03-20,132.5
2021-03-21,132.5
2021-03-22,130.5
2021-03-23,130.5
2021-03-24,133.0
2021-03-25,134.5
2021-03-26,130.0
2021-03-27,130.0
2021-03-28,130.0
2021-03-29,130.5
2021-03-30,131.5
2021-03-31,133.5
2021-04-01,133.5
2021-04-02,133.5
2021-04-03,133.5
2021-04-04,133.5
2021-04-05,133.5
2021-04-06,133.5
2021-04-07,135.5
2021-04-08,138.0
2021-04-09,138.0
2021-04-10,138.0
2021-04-11,138.0
2021-04-12,145.0
2021-04-13,145.0
2021-04-14,153.0
2021-04-15,149.0
2021-04-16,146.5
2021-04-17,146.5
2021-04-18,146.5
2021-04-19,147.0
2021-04-20,141.0
2021-04-21,146.5
2021-04-22,144.0
2021-04-23,141.5
2021-04-24,141.5
2021-04-25,141.5
2021-04-26,144.5
2021-04-27,147.5
2021-04-28,168.0
2021-04-29,173.5
2021-04-30,169.0
2021-05-01,169.0
2021-05-02,169.0
2021-05-03,173.0
