,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,79.0
2021-01-05,79.0
2021-01-06,79.5
2021-01-07,79.5
2021-01-08,79.5
2021-01-09,79.5
2021-01-10,79.5
2021-01-11,79.5
2021-01-12,79.5
2021-01-13,79.0
2021-01-14,79.5
2021-01-15,81.5
2021-01-16,81.5
2021-01-17,81.5
2021-01-18,82.0
2021-01-19,80.5
2021-01-20,80.5
2021-01-21,80.5
2021-01-22,81.0
2021-01-23,81.0
2021-01-24,81.0
2021-01-25,81.0
2021-01-26,81.0
2021-01-27,79.5
2021-01-28,79.5
2021-01-29,79.0
2021-01-30,79.0
2021-01-31,79.0
2021-02-01,80.0
2021-02-02,80.0
2021-02-03,80.0
2021-02-04,81.5
2021-02-05,81.0
2021-02-06,81.0
2021-02-07,81.0
2021-02-08,80.5
2021-02-09,82.0
2021-02-10,82.0
2021-02-11,82.5
2021-02-12,83.0
2021-02-13,83.0
2021-02-14,83.0
2021-02-15,85.0
2021-02-16,84.5
2021-02-17,86.0
2021-02-18,86.5
2021-02-19,87.0
2021-02-20,87.0
2021-02-21,87.0
2021-02-22,85.0
2021-02-23,84.0
2021-02-24,84.5
2021-02-25,85.5
2021-02-26,86.0
2021-02-27,86.0
2021-02-28,86.0
2021-03-01,86.0
2021-03-02,85.0
2021-03-03,88.5
2021-03-04,88.5
2021-03-05,88.5
2021-03-06,88.5
2021-03-07,88.5
2021-03-08,86.5
2021-03-09,88.5
2021-03-10,88.0
2021-03-11,88.5
2021-03-12,88.0
2021-03-13,88.0
2021-03-14,88.0
2021-03-15,88.5
2021-03-16,88.5
2021-03-17,89.0
2021-03-18,88.0
2021-03-19,90.0
2021-03-20,90.0
2021-03-21,90.0
2021-03-22,88.5
2021-03-23,88.5
2021-03-24,89.0
2021-03-25,89.0
2021-03-26,90.0
2021-03-27,90.0
2021-03-28,90.0
2021-03-29,90.5
2021-03-30,90.5
2021-03-31,96.5
2021-04-01,96.5
2021-04-02,96.5
2021-04-03,96.5
2021-04-04,96.5
2021-04-05,96.5
2021-04-06,97.5
2021-04-07,96.0
2021-04-08,97.5
2021-04-09,97.5
2021-04-10,97.5
2021-04-11,97.5
2021-04-12,99.0
2021-04-13,98.5
2021-04-14,99.0
2021-04-15,98.5
2021-04-16,99.0
2021-04-17,99.0
2021-04-18,99.0
2021-04-19,99.0
2021-04-20,99.0
2021-04-21,97.0
2021-04-22,99.0
2021-04-23,99.0
2021-04-24,99.0
2021-04-25,99.0
2021-04-26,99.5
2021-04-27,99.5
2021-04-28,101.0
2021-04-29,99.5
2021-04-30,99.5
2021-05-01,99.5
2021-05-02,99.5
2021-05-03,102.0
