,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,434.0
2021-01-05,418.0
2021-01-06,414.0
2021-01-07,420.0
2021-01-08,440.0
2021-01-09,440.0
2021-01-10,440.0
2021-01-11,436.0
2021-01-12,430.0
2021-01-13,420.0
2021-01-14,420.0
2021-01-15,438.0
2021-01-16,438.0
2021-01-17,438.0
2021-01-18,422.0
2021-01-19,436.0
2021-01-20,436.0
2021-01-21,426.0
2021-01-22,436.0
2021-01-23,436.0
2021-01-24,436.0
2021-01-25,436.0
2021-01-26,436.0
2021-01-27,436.0
2021-01-28,436.0
2021-01-29,436.0
2021-01-30,436.0
2021-01-31,436.0
2021-02-01,442.0
2021-02-02,454.0
2021-02-03,448.0
2021-02-04,438.0
2021-02-05,438.0
2021-02-06,438.0
2021-02-07,438.0
2021-02-08,436.0
2021-02-09,438.0
2021-02-10,446.0
2021-02-11,442.0
2021-02-12,444.0
2021-02-13,444.0
2021-02-14,444.0
2021-02-15,438.0
2021-02-16,448.0
2021-02-17,448.0
2021-02-18,448.0
2021-02-19,448.0
2021-02-20,448.0
2021-02-21,448.0
2021-02-22,442.0
2021-02-23,444.0
2021-02-24,442.0
2021-02-25,442.0
2021-02-26,450.0
2021-02-27,450.0
2021-02-28,450.0
2021-03-01,480.0
2021-03-02,480.0
2021-03-03,478.0
2021-03-04,464.0
2021-03-05,464.0
2021-03-06,464.0
2021-03-07,464.0
2021-03-08,446.0
2021-03-09,450.0
2021-03-10,462.0
2021-03-11,462.0
2021-03-12,454.0
2021-03-13,454.0
2021-03-14,454.0
2021-03-15,462.0
2021-03-16,458.0
2021-03-17,456.0
2021-03-18,454.0
2021-03-19,452.0
2021-03-20,452.0
2021-03-21,452.0
2021-03-22,474.0
2021-03-23,470.0
2021-03-24,470.0
2021-03-25,470.0
2021-03-26,470.0
2021-03-27,470.0
2021-03-28,470.0
2021-03-29,464.0
2021-03-30,460.0
2021-03-31,458.0
2021-04-01,458.0
2021-04-02,458.0
2021-04-03,458.0
2021-04-04,458.0
2021-04-05,458.0
2021-04-06,462.0
2021-04-07,456.0
2021-04-08,456.0
2021-04-09,456.0
2021-04-10,456.0
2021-04-11,456.0
2021-04-12,454.0
2021-04-13,466.0
2021-04-14,454.0
2021-04-15,454.0
2021-04-16,446.0
2021-04-17,446.0
2021-04-18,446.0
2021-04-19,466.0
2021-04-20,454.0
2021-04-21,454.0
2021-04-22,456.0
2021-04-23,458.0
2021-04-24,458.0
2021-04-25,458.0
2021-04-26,464.0
2021-04-27,464.0
2021-04-28,464.0
2021-04-29,464.0
2021-04-30,464.0
2021-05-01,464.0
2021-05-02,464.0
2021-05-03,462.0
