,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,167.0
2021-01-05,164.5
2021-01-06,164.5
2021-01-07,168.0
2021-01-08,162.5
2021-01-09,162.5
2021-01-10,162.5
2021-01-11,160.0
2021-01-12,161.5
2021-01-13,160.0
2021-01-14,158.5
2021-01-15,163.0
2021-01-16,163.0
2021-01-17,163.0
2021-01-18,164.0
2021-01-19,162.0
2021-01-20,161.5
2021-01-21,162.5
2021-01-22,162.0
2021-01-23,162.0
2021-01-24,162.0
2021-01-25,160.5
2021-01-26,161.0
2021-01-27,161.0
2021-01-28,157.5
2021-01-29,156.0
2021-01-30,156.0
2021-01-31,156.0
2021-02-01,161.0
2021-02-02,161.0
2021-02-03,161.0
2021-02-04,160.0
2021-02-05,160.5
2021-02-06,160.5
2021-02-07,160.5
2021-02-08,160.0
2021-02-09,161.5
2021-02-10,160.0
2021-02-11,161.0
2021-02-12,162.0
2021-02-13,162.0
2021-02-14,162.0
2021-02-15,162.0
2021-02-16,162.0
2021-02-17,163.5
2021-02-18,162.0
2021-02-19,172.0
2021-02-20,172.0
2021-02-21,172.0
2021-02-22,172.0
2021-02-23,170.5
2021-02-24,172.5
2021-02-25,177.5
2021-02-26,177.0
2021-02-27,177.0
2021-02-28,177.0
2021-03-01,179.5
2021-03-02,179.5
2021-03-03,177.0
2021-03-04,178.0
2021-03-05,192.5
2021-03-06,192.5
2021-03-07,192.5
2021-03-08,197.0
2021-03-09,201.0
2021-03-10,200.0
2021-03-11,200.0
2021-03-12,201.0
2021-03-13,201.0
2021-03-14,201.0
2021-03-15,203.0
2021-03-16,205.0
2021-03-17,201.0
2021-03-18,197.5
2021-03-19,199.0
2021-03-20,199.0
2021-03-21,199.0
2021-03-22,203.0
2021-03-23,200.0
2021-03-24,200.0
2021-03-25,201.0
2021-03-26,222.0
2021-03-27,222.0
2021-03-28,222.0
2021-03-29,219.0
2021-03-30,224.0
2021-03-31,222.0
2021-04-01,230.0
2021-04-02,230.0
2021-04-03,230.0
2021-04-04,230.0
2021-04-05,230.0
2021-04-06,239.0
2021-04-07,249.0
2021-04-08,251.0
2021-04-09,252.0
2021-04-10,252.0
2021-04-11,252.0
2021-04-12,245.0
2021-04-13,240.0
2021-04-14,231.0
2021-04-15,226.0
2021-04-16,226.0
2021-04-17,226.0
2021-04-18,226.0
2021-04-19,221.0
2021-04-20,209.0
2021-04-21,220.0
2021-04-22,219.0
2021-04-23,228.0
2021-04-24,228.0
2021-04-25,228.0
2021-04-26,224.0
2021-04-27,219.0
2021-04-28,216.0
2021-04-29,223.0
2021-04-30,227.0
2021-05-01,227.0
2021-05-02,227.0
2021-05-03,222.0
