,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-01-30,
2021-01-31,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-06,
2021-02-07,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,10.6899995803833
2021-02-20,10.6899995803833
2021-02-21,10.6899995803833
2021-02-22,11.001999855041504
2021-02-23,10.710000038146973
2021-02-24,10.947999954223633
2021-02-25,10.765999794006348
2021-02-26,10.699999809265137
2021-02-27,10.699999809265137
2021-02-28,10.699999809265137
2021-03-01,10.75
2021-03-02,10.649999618530273
2021-03-03,10.600000381469727
2021-03-04,10.399999618530273
2021-03-05,10.25
2021-03-06,10.25
2021-03-07,10.25
2021-03-08,10.050000190734863
2021-03-09,10.350000381469727
2021-03-10,10.449999809265137
2021-03-11,10.5
2021-03-12,10.449999809265137
2021-03-13,10.449999809265137
2021-03-14,10.449999809265137
2021-03-15,10.350000381469727
2021-03-16,10.25
2021-03-17,10.149999618530273
2021-03-18,10.199999809265137
2021-03-19,10.149999618530273
2021-03-20,10.149999618530273
2021-03-21,10.149999618530273
2021-03-22,10.199999809265137
2021-03-23,10.0
2021-03-24,10.0
2021-03-25,10.149999618530273
2021-03-26,10.399999618530273
2021-03-27,10.399999618530273
2021-03-28,10.399999618530273
2021-03-29,10.399999618530273
2021-03-30,10.350000381469727
2021-03-31,10.300000190734863
2021-04-01,10.300000190734863
2021-04-02,10.300000190734863
2021-04-03,10.300000190734863
2021-04-04,10.300000190734863
2021-04-05,10.300000190734863
2021-04-06,10.649999618530273
2021-04-07,10.75
2021-04-08,10.899999618530273
2021-04-09,10.949999809265137
2021-04-10,10.949999809265137
2021-04-11,10.949999809265137
2021-04-12,11.0
2021-04-13,11.149999618530273
2021-04-14,11.199999809265137
2021-04-15,11.300000190734863
2021-04-16,11.350000381469727
2021-04-17,11.350000381469727
2021-04-18,11.350000381469727
2021-04-19,11.300000190734863
2021-04-20,11.050000190734863
2021-04-21,11.100000381469727
2021-04-22,11.350000381469727
2021-04-23,11.350000381469727
2021-04-24,11.350000381469727
2021-04-25,11.350000381469727
2021-04-26,11.399999618530273
2021-04-27,11.300000190734863
2021-04-28,11.300000190734863
2021-04-29,11.350000381469727
2021-04-30,11.300000190734863
2021-05-01,11.300000190734863
2021-05-02,11.300000190734863
2021-05-03,11.25
