,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,167.0
2021-01-05,169.0
2021-01-06,170.0
2021-01-07,169.0
2021-01-08,171.0
2021-01-09,171.0
2021-01-10,171.0
2021-01-11,170.0
2021-01-12,171.0
2021-01-13,174.0
2021-01-14,180.0
2021-01-15,176.0
2021-01-16,176.0
2021-01-17,176.0
2021-01-18,178.0
2021-01-19,175.0
2021-01-20,180.0
2021-01-21,185.0
2021-01-22,192.0
2021-01-23,192.0
2021-01-24,192.0
2021-01-25,190.0
2021-01-26,186.0
2021-01-27,182.0
2021-01-28,183.0
2021-01-29,188.0
2021-01-30,188.0
2021-01-31,188.0
2021-02-01,189.0
2021-02-02,189.0
2021-02-03,190.0
2021-02-04,196.0
2021-02-05,198.0
2021-02-06,198.0
2021-02-07,198.0
2021-02-08,212.0
2021-02-09,208.0
2021-02-10,210.0
2021-02-11,212.0
2021-02-12,218.0
2021-02-13,218.0
2021-02-14,218.0
2021-02-15,214.0
2021-02-16,232.0
2021-02-17,222.0
2021-02-18,220.0
2021-02-19,230.0
2021-02-20,230.0
2021-02-21,230.0
2021-02-22,226.0
2021-02-23,220.0
2021-02-24,216.0
2021-02-25,210.0
2021-02-26,206.0
2021-02-27,206.0
2021-02-28,206.0
2021-03-01,212.0
2021-03-02,210.0
2021-03-03,212.0
2021-03-04,214.0
2021-03-05,214.0
2021-03-06,214.0
2021-03-07,214.0
2021-03-08,212.0
2021-03-09,214.0
2021-03-10,208.0
2021-03-11,210.0
2021-03-12,208.0
2021-03-13,208.0
2021-03-14,208.0
2021-03-15,210.0
2021-03-16,220.0
2021-03-17,206.0
2021-03-18,210.0
2021-03-19,212.0
2021-03-20,212.0
2021-03-21,212.0
2021-03-22,208.0
2021-03-23,206.0
2021-03-24,208.0
2021-03-25,206.0
2021-03-26,210.0
2021-03-27,210.0
2021-03-28,210.0
2021-03-29,208.0
2021-03-30,212.0
2021-03-31,214.0
2021-04-01,214.0
2021-04-02,214.0
2021-04-03,214.0
2021-04-04,214.0
2021-04-05,214.0
2021-04-06,218.0
2021-04-07,218.0
2021-04-08,260.0
2021-04-09,254.0
2021-04-10,254.0
2021-04-11,254.0
2021-04-12,248.0
2021-04-13,248.0
2021-04-14,248.0
2021-04-15,248.0
2021-04-16,251.0
2021-04-17,251.0
2021-04-18,251.0
2021-04-19,249.0
2021-04-20,249.0
2021-04-21,249.0
2021-04-22,247.0
2021-04-23,252.0
2021-04-24,252.0
2021-04-25,252.0
2021-04-26,247.0
2021-04-27,250.0
2021-04-28,247.0
2021-04-29,250.0
2021-04-30,250.0
2021-05-01,250.0
2021-05-02,250.0
2021-05-03,242.0
