,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,447.5186462402344
2021-01-05,445.6224060058594
2021-01-06,439.93359375
2021-01-07,451.3111877441406
2021-01-08,457.0
2021-01-09,457.0
2021-01-10,457.0
2021-01-11,455.1037292480469
2021-01-12,455.1037292480469
2021-01-13,451.3111877441406
2021-01-14,451.3111877441406
2021-01-15,451.3111877441406
2021-01-16,451.3111877441406
2021-01-17,451.3111877441406
2021-01-18,447.5186462402344
2021-01-19,455.1037292480469
2021-01-20,449.4149169921875
2021-01-21,447.5186462402344
2021-01-22,451.3111877441406
2021-01-23,451.3111877441406
2021-01-24,451.3111877441406
2021-01-25,441.8298645019531
2021-01-26,457.0
2021-01-27,457.0
2021-01-28,456.0
2021-01-29,456.0
2021-01-30,456.0
2021-01-31,456.0
2021-02-01,462.0
2021-02-02,466.0
2021-02-03,466.0
2021-02-04,468.0
2021-02-05,464.0
2021-02-06,464.0
2021-02-07,464.0
2021-02-08,462.0
2021-02-09,462.0
2021-02-10,458.0
2021-02-11,464.0
2021-02-12,466.0
2021-02-13,466.0
2021-02-14,466.0
2021-02-15,460.0
2021-02-16,462.0
2021-02-17,464.0
2021-02-18,460.0
2021-02-19,460.0
2021-02-20,460.0
2021-02-21,460.0
2021-02-22,454.0
2021-02-23,450.0
2021-02-24,454.0
2021-02-25,448.0
2021-02-26,450.0
2021-02-27,450.0
2021-02-28,450.0
2021-03-01,448.0
2021-03-02,446.0
2021-03-03,450.0
2021-03-04,446.0
2021-03-05,446.0
2021-03-06,446.0
2021-03-07,446.0
2021-03-08,448.0
2021-03-09,448.0
2021-03-10,456.0
2021-03-11,456.0
2021-03-12,458.0
2021-03-13,458.0
2021-03-14,458.0
2021-03-15,460.0
2021-03-16,466.0
2021-03-17,466.0
2021-03-18,476.0
2021-03-19,464.0
2021-03-20,464.0
2021-03-21,464.0
2021-03-22,474.0
2021-03-23,468.0
2021-03-24,474.0
2021-03-25,462.0
2021-03-26,466.0
2021-03-27,466.0
2021-03-28,466.0
2021-03-29,488.0
2021-03-30,478.0
2021-03-31,478.0
2021-04-01,478.0
2021-04-02,478.0
2021-04-03,478.0
2021-04-04,478.0
2021-04-05,478.0
2021-04-06,510.0
2021-04-07,510.0
2021-04-08,540.0
2021-04-09,540.0
2021-04-10,540.0
2021-04-11,540.0
2021-04-12,545.0
2021-04-13,525.0
2021-04-14,525.0
2021-04-15,530.0
2021-04-16,555.0
2021-04-17,555.0
2021-04-18,555.0
2021-04-19,545.0
2021-04-20,555.0
2021-04-21,555.0
2021-04-22,555.0
2021-04-23,550.0
2021-04-24,550.0
2021-04-25,550.0
2021-04-26,560.0
2021-04-27,555.0
2021-04-28,545.0
2021-04-29,580.0
2021-04-30,580.0
2021-05-01,580.0
2021-05-02,580.0
2021-05-03,555.0
