,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,93.5999984741211
2021-01-05,106.5
2021-01-06,106.5
2021-01-07,111.0
2021-01-08,109.0
2021-01-09,109.0
2021-01-10,109.0
2021-01-11,105.5
2021-01-12,115.0
2021-01-13,117.0
2021-01-14,120.5
2021-01-15,124.0
2021-01-16,124.0
2021-01-17,124.0
2021-01-18,128.5
2021-01-19,122.5
2021-01-20,119.5
2021-01-21,117.0
2021-01-22,115.0
2021-01-23,115.0
2021-01-24,115.0
2021-01-25,110.5
2021-01-26,118.5
2021-01-27,110.0
2021-01-28,117.0
2021-01-29,110.0
2021-01-30,110.0
2021-01-31,110.0
2021-02-01,112.0
2021-02-02,113.5
2021-02-03,116.0
2021-02-04,116.0
2021-02-05,117.0
2021-02-06,117.0
2021-02-07,117.0
2021-02-08,120.5
2021-02-09,115.0
2021-02-10,118.5
2021-02-11,117.0
2021-02-12,121.0
2021-02-13,121.0
2021-02-14,121.0
2021-02-15,119.0
2021-02-16,117.5
2021-02-17,118.5
2021-02-18,115.0
2021-02-19,110.0
2021-02-20,110.0
2021-02-21,110.0
2021-02-22,112.0
2021-02-23,110.0
2021-02-24,112.0
2021-02-25,113.0
2021-02-26,107.0
2021-02-27,107.0
2021-02-28,107.0
2021-03-01,119.5
2021-03-02,117.5
2021-03-03,123.0
2021-03-04,122.5
2021-03-05,123.0
2021-03-06,123.0
2021-03-07,123.0
2021-03-08,122.0
2021-03-09,124.5
2021-03-10,127.5
2021-03-11,134.5
2021-03-12,137.0
2021-03-13,137.0
2021-03-14,137.0
2021-03-15,137.5
2021-03-16,140.0
2021-03-17,145.0
2021-03-18,148.0
2021-03-19,149.5
2021-03-20,149.5
2021-03-21,149.5
2021-03-22,144.5
2021-03-23,141.5
2021-03-24,139.5
2021-03-25,140.0
2021-03-26,146.0
2021-03-27,146.0
2021-03-28,146.0
2021-03-29,143.5
2021-03-30,144.0
2021-03-31,138.0
2021-04-01,144.8000030517578
2021-04-02,144.8000030517578
2021-04-03,144.8000030517578
2021-04-04,144.8000030517578
2021-04-05,144.8000030517578
2021-04-06,149.0
2021-04-07,156.1999969482422
2021-04-08,158.1999969482422
2021-04-09,151.1999969482422
2021-04-10,151.1999969482422
2021-04-11,151.1999969482422
2021-04-12,151.1999969482422
2021-04-13,147.0
2021-04-14,148.1999969482422
2021-04-15,150.0
2021-04-16,165.1999969482422
2021-04-17,165.1999969482422
2021-04-18,165.1999969482422
2021-04-19,170.8000030517578
2021-04-20,184.39999389648438
2021-04-21,180.60000610351562
2021-04-22,198.0
2021-04-23,194.8000030517578
2021-04-24,194.8000030517578
2021-04-25,194.8000030517578
2021-04-26,194.8000030517578
2021-04-27,194.8000030517578
2021-04-28,194.8000030517578
2021-04-29,194.8000030517578
2021-04-30,194.8000030517578
2021-05-01,194.8000030517578
2021-05-02,194.8000030517578
2021-05-03,189.39999389648438
