,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,242.0
2021-01-05,242.0
2021-01-06,248.0
2021-01-07,242.0
2021-01-08,242.0
2021-01-09,242.0
2021-01-10,242.0
2021-01-11,246.0
2021-01-12,254.0
2021-01-13,252.0
2021-01-14,252.0
2021-01-15,264.0
2021-01-16,264.0
2021-01-17,264.0
2021-01-18,276.0
2021-01-19,276.0
2021-01-20,270.0
2021-01-21,258.0
2021-01-22,286.0
2021-01-23,286.0
2021-01-24,286.0
2021-01-25,284.0
2021-01-26,280.0
2021-01-27,280.0
2021-01-28,268.0
2021-01-29,276.0
2021-01-30,276.0
2021-01-31,276.0
2021-02-01,268.0
2021-02-02,268.0
2021-02-03,284.0
2021-02-04,284.0
2021-02-05,288.0
2021-02-06,288.0
2021-02-07,288.0
2021-02-08,316.0
2021-02-09,346.0
2021-02-10,310.0
2021-02-11,308.0
2021-02-12,344.0
2021-02-13,344.0
2021-02-14,344.0
2021-02-15,332.0
2021-02-16,330.0
2021-02-17,330.0
2021-02-18,330.0
2021-02-19,312.0
2021-02-20,312.0
2021-02-21,312.0
2021-02-22,338.0
2021-02-23,316.0
2021-02-24,306.0
2021-02-25,306.0
2021-02-26,292.0
2021-02-27,292.0
2021-02-28,292.0
2021-03-01,292.0
2021-03-02,294.0
2021-03-03,294.0
2021-03-04,304.0
2021-03-05,294.0
2021-03-06,294.0
2021-03-07,294.0
2021-03-08,300.0
2021-03-09,294.0
2021-03-10,294.0
2021-03-11,300.0
2021-03-12,290.0
2021-03-13,290.0
2021-03-14,290.0
2021-03-15,278.0
2021-03-16,270.0
2021-03-17,272.0
2021-03-18,272.0
2021-03-19,272.0
2021-03-20,272.0
2021-03-21,272.0
2021-03-22,284.0
2021-03-23,284.0
2021-03-24,270.0
2021-03-25,270.0
2021-03-26,272.0
2021-03-27,272.0
2021-03-28,272.0
2021-03-29,272.0
2021-03-30,272.0
2021-03-31,276.0
2021-04-01,276.0
2021-04-02,276.0
2021-04-03,276.0
2021-04-04,276.0
2021-04-05,276.0
2021-04-06,274.0
2021-04-07,268.0
2021-04-08,266.0
2021-04-09,270.0
2021-04-10,270.0
2021-04-11,270.0
2021-04-12,270.0
2021-04-13,266.0
2021-04-14,260.0
2021-04-15,260.0
2021-04-16,262.0
2021-04-17,262.0
2021-04-18,262.0
2021-04-19,254.0
2021-04-20,260.0
2021-04-21,278.0
2021-04-22,278.0
2021-04-23,280.0
2021-04-24,280.0
2021-04-25,280.0
2021-04-26,280.0
2021-04-27,280.0
2021-04-28,274.0
2021-04-29,280.0
2021-04-30,280.0
2021-05-01,280.0
2021-05-02,280.0
2021-05-03,280.0
