,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,6401.0
2021-01-05,6401.0
2021-01-06,6301.0
2021-01-07,6200.0
2021-01-08,6299.0
2021-01-09,6299.0
2021-01-10,6299.0
2021-01-11,6301.0
2021-01-12,6400.0
2021-01-13,6400.0
2021-01-14,6350.0
2021-01-15,6450.0
2021-01-16,6450.0
2021-01-17,6450.0
2021-01-18,6400.0
2021-01-19,6450.0
2021-01-20,6350.0
2021-01-21,6550.0
2021-01-22,6550.0
2021-01-23,6550.0
2021-01-24,6550.0
2021-01-25,6450.0
2021-01-26,6400.0
2021-01-27,6400.0
2021-01-28,6500.0
2021-01-29,6550.0
2021-01-30,6550.0
2021-01-31,6550.0
2021-02-01,6600.0
2021-02-02,6550.0
2021-02-03,6500.0
2021-02-04,6700.0
2021-02-05,6700.0
2021-02-06,6700.0
2021-02-07,6700.0
2021-02-08,6700.0
2021-02-09,6700.0
2021-02-10,6700.0
2021-02-11,6850.0
2021-02-12,7200.0
2021-02-13,7200.0
2021-02-14,7200.0
2021-02-15,7200.0
2021-02-16,7450.0
2021-02-17,7600.0
2021-02-18,7400.0
2021-02-19,7650.0
2021-02-20,7650.0
2021-02-21,7650.0
2021-02-22,7600.0
2021-02-23,7450.0
2021-02-24,7350.0
2021-02-25,7200.0
2021-02-26,7350.0
2021-02-27,7350.0
2021-02-28,7350.0
2021-03-01,7350.0
2021-03-02,7350.0
2021-03-03,7400.0
2021-03-04,7400.0
2021-03-05,7450.0
2021-03-06,7450.0
2021-03-07,7450.0
2021-03-08,7800.0
2021-03-09,7900.0
2021-03-10,8100.0
2021-03-11,8150.0
2021-03-12,7900.0
2021-03-13,7900.0
2021-03-14,7900.0
2021-03-15,7900.0
2021-03-16,7900.0
2021-03-17,7800.0
2021-03-18,7900.0
2021-03-19,8000.0
2021-03-20,8000.0
2021-03-21,8000.0
2021-03-22,8000.0
2021-03-23,8100.0
2021-03-24,8100.0
2021-03-25,8250.0
2021-03-26,8250.0
2021-03-27,8250.0
2021-03-28,8250.0
2021-03-29,8250.0
2021-03-30,8400.0
2021-03-31,8500.0
2021-04-01,8500.0
2021-04-02,8500.0
2021-04-03,8500.0
2021-04-04,8500.0
2021-04-05,8500.0
2021-04-06,9300.0
2021-04-07,9550.0
2021-04-08,11200.0
2021-04-09,13300.0
2021-04-10,13300.0
2021-04-11,13300.0
2021-04-12,16800.0
2021-04-13,13600.0
2021-04-14,14500.0
2021-04-15,14600.0
2021-04-16,12600.0
2021-04-17,12600.0
2021-04-18,12600.0
2021-04-19,12300.0
2021-04-20,12800.0
2021-04-21,12600.0
2021-04-22,12200.0
2021-04-23,12400.0
2021-04-24,12400.0
2021-04-25,12400.0
2021-04-26,12000.0
2021-04-27,12800.0
2021-04-28,12500.0
2021-04-29,12500.0
2021-04-30,12500.0
2021-05-01,12500.0
2021-05-02,12500.0
2021-05-03,12500.0
