,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,190.5
2021-01-05,198.0
2021-01-06,198.0
2021-01-07,197.0
2021-01-08,193.5
2021-01-09,193.5
2021-01-10,193.5
2021-01-11,184.0
2021-01-12,178.0
2021-01-13,170.0
2021-01-14,166.0
2021-01-15,164.5
2021-01-16,164.5
2021-01-17,164.5
2021-01-18,170.0
2021-01-19,165.5
2021-01-20,163.0
2021-01-21,161.5
2021-01-22,161.0
2021-01-23,161.0
2021-01-24,161.0
2021-01-25,163.5
2021-01-26,161.0
2021-01-27,153.0
2021-01-28,148.0
2021-01-29,151.5
2021-01-30,151.5
2021-01-31,151.5
2021-02-01,151.5
2021-02-02,154.0
2021-02-03,155.5
2021-02-04,158.0
2021-02-05,157.5
2021-02-06,157.5
2021-02-07,157.5
2021-02-08,157.0
2021-02-09,153.5
2021-02-10,153.5
2021-02-11,149.0
2021-02-12,157.0
2021-02-13,157.0
2021-02-14,157.0
2021-02-15,156.5
2021-02-16,157.0
2021-02-17,155.5
2021-02-18,151.0
2021-02-19,155.0
2021-02-20,155.0
2021-02-21,155.0
2021-02-22,158.5
2021-02-23,164.0
2021-02-24,176.0
2021-02-25,178.5
2021-02-26,172.0
2021-02-27,172.0
2021-02-28,172.0
2021-03-01,176.0
2021-03-02,182.0
2021-03-03,182.0
2021-03-04,180.0
2021-03-05,176.0
2021-03-06,176.0
2021-03-07,176.0
2021-03-08,175.0
2021-03-09,172.5
2021-03-10,173.5
2021-03-11,175.5
2021-03-12,178.5
2021-03-13,178.5
2021-03-14,178.5
2021-03-15,180.0
2021-03-16,180.0
2021-03-17,181.5
2021-03-18,185.5
2021-03-19,189.5
2021-03-20,189.5
2021-03-21,189.5
2021-03-22,195.5
2021-03-23,192.5
2021-03-24,189.0
2021-03-25,182.0
2021-03-26,185.0
2021-03-27,185.0
2021-03-28,185.0
2021-03-29,192.5
2021-03-30,194.0
2021-03-31,199.5
2021-04-01,194.0
2021-04-02,194.0
2021-04-03,194.0
2021-04-04,194.0
2021-04-05,194.0
2021-04-06,197.0
2021-04-07,197.5
2021-04-08,196.5
2021-04-09,195.0
2021-04-10,195.0
2021-04-11,195.0
2021-04-12,191.5
2021-04-13,190.0
2021-04-14,193.0
2021-04-15,190.0
2021-04-16,189.5
2021-04-17,189.5
2021-04-18,189.5
2021-04-19,187.0
2021-04-20,187.0
2021-04-21,180.5
2021-04-22,190.0
2021-04-23,183.5
2021-04-24,183.5
2021-04-25,183.5
2021-04-26,182.5
2021-04-27,188.0
2021-04-28,187.5
2021-04-29,188.0
2021-04-30,190.5
2021-05-01,190.5
2021-05-02,190.5
2021-05-03,195.0
