,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,600.0
2021-01-05,590.0
2021-01-06,585.0
2021-01-07,590.0
2021-01-08,595.0
2021-01-09,595.0
2021-01-10,595.0
2021-01-11,585.0
2021-01-12,585.0
2021-01-13,595.0
2021-01-14,595.0
2021-01-15,590.0
2021-01-16,590.0
2021-01-17,590.0
2021-01-18,585.0
2021-01-19,590.0
2021-01-20,590.0
2021-01-21,600.0
2021-01-22,600.0
2021-01-23,600.0
2021-01-24,600.0
2021-01-25,595.0
2021-01-26,600.0
2021-01-27,590.0
2021-01-28,590.0
2021-01-29,600.0
2021-01-30,600.0
2021-01-31,600.0
2021-02-01,595.0
2021-02-02,595.0
2021-02-03,600.0
2021-02-04,600.0
2021-02-05,600.0
2021-02-06,600.0
2021-02-07,600.0
2021-02-08,610.0
2021-02-09,605.0
2021-02-10,610.0
2021-02-11,605.0
2021-02-12,610.0
2021-02-13,610.0
2021-02-14,610.0
2021-02-15,605.0
2021-02-16,605.0
2021-02-17,605.0
2021-02-18,605.0
2021-02-19,600.0
2021-02-20,600.0
2021-02-21,600.0
2021-02-22,600.0
2021-02-23,610.0
2021-02-24,610.0
2021-02-25,610.0
2021-02-26,615.0
2021-02-27,615.0
2021-02-28,615.0
2021-03-01,620.0
2021-03-02,605.0
2021-03-03,615.0
2021-03-04,610.0
2021-03-05,615.0
2021-03-06,615.0
2021-03-07,615.0
2021-03-08,615.0
2021-03-09,610.0
2021-03-10,605.0
2021-03-11,620.0
2021-03-12,620.0
2021-03-13,620.0
2021-03-14,620.0
2021-03-15,630.0
2021-03-16,620.0
2021-03-17,630.0
2021-03-18,630.0
2021-03-19,630.0
2021-03-20,630.0
2021-03-21,630.0
2021-03-22,620.0
2021-03-23,625.0
2021-03-24,625.0
2021-03-25,605.0
2021-03-26,600.0
2021-03-27,600.0
2021-03-28,600.0
2021-03-29,600.0
2021-03-30,610.0
2021-03-31,610.0
2021-04-01,610.0
2021-04-02,610.0
2021-04-03,610.0
2021-04-04,610.0
2021-04-05,610.0
2021-04-06,610.0
2021-04-07,618.0
2021-04-08,616.0
2021-04-09,618.0
2021-04-10,618.0
2021-04-11,618.0
2021-04-12,616.0
2021-04-13,612.0
2021-04-14,612.0
2021-04-15,612.0
2021-04-16,612.0
2021-04-17,612.0
2021-04-18,612.0
2021-04-19,614.0
2021-04-20,614.0
2021-04-21,614.0
2021-04-22,608.0
2021-04-23,610.0
2021-04-24,610.0
2021-04-25,610.0
2021-04-26,614.0
2021-04-27,612.0
2021-04-28,612.0
2021-04-29,610.0
2021-04-30,610.0
2021-05-01,610.0
2021-05-02,610.0
2021-05-03,614.0
