,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,3320.0
2021-01-05,3320.0
2021-01-06,3300.0
2021-01-07,3300.0
2021-01-08,3360.0
2021-01-09,3360.0
2021-01-10,3360.0
2021-01-11,3320.0
2021-01-12,3340.0
2021-01-13,3340.0
2021-01-14,3340.0
2021-01-15,3320.0
2021-01-16,3320.0
2021-01-17,3320.0
2021-01-18,3360.0
2021-01-19,3340.0
2021-01-20,3300.0
2021-01-21,3400.0
2021-01-22,3460.0
2021-01-23,3460.0
2021-01-24,3460.0
2021-01-25,3420.0
2021-01-26,3400.0
2021-01-27,3420.0
2021-01-28,3380.0
2021-01-29,3440.0
2021-01-30,3440.0
2021-01-31,3440.0
2021-02-01,3420.0
2021-02-02,3380.0
2021-02-03,3420.0
2021-02-04,3420.0
2021-02-05,3460.0
2021-02-06,3460.0
2021-02-07,3460.0
2021-02-08,3440.0
2021-02-09,3400.0
2021-02-10,3440.0
2021-02-11,3440.0
2021-02-12,3440.0
2021-02-13,3440.0
2021-02-14,3440.0
2021-02-15,3420.0
2021-02-16,3420.0
2021-02-17,3460.0
2021-02-18,3440.0
2021-02-19,3400.0
2021-02-20,3400.0
2021-02-21,3400.0
2021-02-22,3440.0
2021-02-23,3460.0
2021-02-24,3480.0
2021-02-25,3500.0
2021-02-26,3520.0
2021-02-27,3520.0
2021-02-28,3520.0
2021-03-01,3500.0
2021-03-02,3600.0
2021-03-03,3600.0
2021-03-04,3560.0
2021-03-05,3600.0
2021-03-06,3600.0
2021-03-07,3600.0
2021-03-08,3600.0
2021-03-09,3620.0
2021-03-10,3580.0
2021-03-11,3580.0
2021-03-12,3580.0
2021-03-13,3580.0
2021-03-14,3580.0
2021-03-15,3620.0
2021-03-16,3600.0
2021-03-17,3580.0
2021-03-18,3540.0
2021-03-19,3600.0
2021-03-20,3600.0
2021-03-21,3600.0
2021-03-22,3580.0
2021-03-23,3580.0
2021-03-24,3560.0
2021-03-25,3500.0
2021-03-26,3540.0
2021-03-27,3540.0
2021-03-28,3540.0
2021-03-29,3560.0
2021-03-30,3580.0
2021-03-31,3540.0
2021-04-01,3540.0
2021-04-02,3540.0
2021-04-03,3540.0
2021-04-04,3540.0
2021-04-05,3540.0
2021-04-06,3580.0
2021-04-07,3580.0
2021-04-08,3600.0
2021-04-09,3620.0
2021-04-10,3620.0
2021-04-11,3620.0
2021-04-12,3560.0
2021-04-13,3600.0
2021-04-14,3580.0
2021-04-15,3600.0
2021-04-16,3600.0
2021-04-17,3600.0
2021-04-18,3600.0
2021-04-19,3580.0
2021-04-20,3580.0
2021-04-21,3620.0
2021-04-22,3580.0
2021-04-23,3600.0
2021-04-24,3600.0
2021-04-25,3600.0
2021-04-26,3600.0
2021-04-27,3640.0
2021-04-28,3640.0
2021-04-29,3580.0
2021-04-30,3580.0
2021-05-01,3580.0
2021-05-02,3580.0
2021-05-03,3580.0
