,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,394.0
2021-01-05,390.0
2021-01-06,394.0
2021-01-07,406.0
2021-01-08,402.0
2021-01-09,402.0
2021-01-10,402.0
2021-01-11,404.0
2021-01-12,408.0
2021-01-13,420.0
2021-01-14,424.0
2021-01-15,422.0
2021-01-16,422.0
2021-01-17,422.0
2021-01-18,422.0
2021-01-19,420.0
2021-01-20,438.0
2021-01-21,460.0
2021-01-22,460.0
2021-01-23,460.0
2021-01-24,460.0
2021-01-25,452.0
2021-01-26,440.0
2021-01-27,446.0
2021-01-28,434.0
2021-01-29,444.0
2021-01-30,444.0
2021-01-31,444.0
2021-02-01,448.0
2021-02-02,458.0
2021-02-03,452.0
2021-02-04,460.0
2021-02-05,470.0
2021-02-06,470.0
2021-02-07,470.0
2021-02-08,468.0
2021-02-09,468.0
2021-02-10,464.0
2021-02-11,468.0
2021-02-12,468.0
2021-02-13,468.0
2021-02-14,468.0
2021-02-15,488.0
2021-02-16,496.0
2021-02-17,490.0
2021-02-18,482.0
2021-02-19,474.0
2021-02-20,474.0
2021-02-21,474.0
2021-02-22,488.0
2021-02-23,466.0
2021-02-24,490.0
2021-02-25,490.0
2021-02-26,480.0
2021-02-27,480.0
2021-02-28,480.0
2021-03-01,474.0
2021-03-02,470.0
2021-03-03,480.0
2021-03-04,470.0
2021-03-05,480.0
2021-03-06,480.0
2021-03-07,480.0
2021-03-08,486.0
2021-03-09,505.0
2021-03-10,505.0
2021-03-11,500.0
2021-03-12,490.0
2021-03-13,490.0
2021-03-14,490.0
2021-03-15,484.0
2021-03-16,488.0
2021-03-17,488.0
2021-03-18,476.0
2021-03-19,480.0
2021-03-20,480.0
2021-03-21,480.0
2021-03-22,476.0
2021-03-23,476.0
2021-03-24,486.0
2021-03-25,486.0
2021-03-26,492.0
2021-03-27,492.0
2021-03-28,492.0
2021-03-29,488.0
2021-03-30,494.0
2021-03-31,492.0
2021-04-01,492.0
2021-04-02,492.0
2021-04-03,492.0
2021-04-04,492.0
2021-04-05,492.0
2021-04-06,493.0
2021-04-07,495.0
2021-04-08,491.0
2021-04-09,491.0
2021-04-10,491.0
2021-04-11,491.0
2021-04-12,508.0
2021-04-13,508.0
2021-04-14,508.0
2021-04-15,506.0
2021-04-16,508.0
2021-04-17,508.0
2021-04-18,508.0
2021-04-19,504.0
2021-04-20,497.0
2021-04-21,499.0
2021-04-22,490.0
2021-04-23,488.0
2021-04-24,488.0
2021-04-25,488.0
2021-04-26,488.0
2021-04-27,487.0
2021-04-28,493.0
2021-04-29,482.0
2021-04-30,482.0
2021-05-01,482.0
2021-05-02,482.0
2021-05-03,495.0
