,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,169.0
2021-01-05,171.0
2021-01-06,175.0
2021-01-07,181.0
2021-01-08,187.0
2021-01-09,187.0
2021-01-10,187.0
2021-01-11,189.5
2021-01-12,189.5
2021-01-13,190.0
2021-01-14,188.0
2021-01-15,184.0
2021-01-16,184.0
2021-01-17,184.0
2021-01-18,175.5
2021-01-19,172.5
2021-01-20,170.0
2021-01-21,170.0
2021-01-22,166.5
2021-01-23,166.5
2021-01-24,166.5
2021-01-25,168.0
2021-01-26,173.0
2021-01-27,166.0
2021-01-28,159.5
2021-01-29,170.0
2021-01-30,170.0
2021-01-31,170.0
2021-02-01,176.5
2021-02-02,173.0
2021-02-03,171.5
2021-02-04,176.0
2021-02-05,175.0
2021-02-06,175.0
2021-02-07,175.0
2021-02-08,179.0
2021-02-09,180.0
2021-02-10,178.0
2021-02-11,176.0
2021-02-12,178.5
2021-02-13,178.5
2021-02-14,178.5
2021-02-15,179.5
2021-02-16,180.0
2021-02-17,180.0
2021-02-18,181.0
2021-02-19,181.5
2021-02-20,181.5
2021-02-21,181.5
2021-02-22,185.0
2021-02-23,175.0
2021-02-24,180.0
2021-02-25,179.0
2021-02-26,183.0
2021-02-27,183.0
2021-02-28,183.0
2021-03-01,197.5
2021-03-02,203.0
2021-03-03,198.0
2021-03-04,198.0
2021-03-05,199.5
2021-03-06,199.5
2021-03-07,199.5
2021-03-08,187.5
2021-03-09,193.0
2021-03-10,201.0
2021-03-11,197.0
2021-03-12,195.5
2021-03-13,195.5
2021-03-14,195.5
2021-03-15,192.0
2021-03-16,191.0
2021-03-17,194.5
2021-03-18,196.5
2021-03-19,197.0
2021-03-20,197.0
2021-03-21,197.0
2021-03-22,194.0
2021-03-23,197.0
2021-03-24,194.5
2021-03-25,194.5
2021-03-26,195.5
2021-03-27,195.5
2021-03-28,195.5
2021-03-29,196.0
2021-03-30,193.5
2021-03-31,190.0
2021-04-01,190.0
2021-04-02,190.0
2021-04-03,190.0
2021-04-04,190.0
2021-04-05,190.0
2021-04-06,194.0
2021-04-07,192.5
2021-04-08,195.5
2021-04-09,194.5
2021-04-10,194.5
2021-04-11,194.5
2021-04-12,198.0
2021-04-13,199.5
2021-04-14,200.0
2021-04-15,199.0
2021-04-16,200.0
2021-04-17,200.0
2021-04-18,200.0
2021-04-19,203.0
2021-04-20,204.0
2021-04-21,204.0
2021-04-22,210.0
2021-04-23,212.0
2021-04-24,212.0
2021-04-25,212.0
2021-04-26,218.0
2021-04-27,224.0
2021-04-28,218.0
2021-04-29,223.0
2021-04-30,223.0
2021-05-01,223.0
2021-05-02,223.0
2021-05-03,230.0
