,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,110.0
2021-01-05,110.0
2021-01-06,110.0
2021-01-07,110.0
2021-01-08,109.5
2021-01-09,109.5
2021-01-10,109.5
2021-01-11,109.5
2021-01-12,109.5
2021-01-13,109.5
2021-01-14,109.5
2021-01-15,109.5
2021-01-16,109.5
2021-01-17,109.5
2021-01-18,109.5
2021-01-19,109.5
2021-01-20,109.5
2021-01-21,109.5
2021-01-22,109.5
2021-01-23,109.5
2021-01-24,109.5
2021-01-25,109.5
2021-01-26,109.5
2021-01-27,109.5
2021-01-28,109.5
2021-01-29,109.5
2021-01-30,109.5
2021-01-31,109.5
2021-02-01,109.5
2021-02-02,109.5
2021-02-03,109.5
2021-02-04,109.5
2021-02-05,109.5
2021-02-06,109.5
2021-02-07,109.5
2021-02-08,109.5
2021-02-09,109.0
2021-02-10,109.0
2021-02-11,136.0
2021-02-12,142.0
2021-02-13,142.0
2021-02-14,142.0
2021-02-15,155.5
2021-02-16,155.5
2021-02-17,155.5
2021-02-18,155.5
2021-02-19,155.5
2021-02-20,155.5
2021-02-21,155.5
2021-02-22,160.0
2021-02-23,160.0
2021-02-24,160.0
2021-02-25,160.0
2021-02-26,104.0
2021-02-27,104.0
2021-02-28,104.0
2021-03-01,140.0
2021-03-02,140.0
2021-03-03,140.0
2021-03-04,140.0
2021-03-05,140.0
2021-03-06,140.0
2021-03-07,140.0
2021-03-08,159.0
2021-03-09,136.5
2021-03-10,184.0
2021-03-11,183.5
2021-03-12,175.5
2021-03-13,175.5
2021-03-14,175.5
2021-03-15,234.0
2021-03-16,261.0
2021-03-17,293.0
2021-03-18,370.0
2021-03-19,270.0
2021-03-20,270.0
2021-03-21,270.0
2021-03-22,270.0
2021-03-23,270.0
2021-03-24,270.0
2021-03-25,270.0
2021-03-26,270.0
2021-03-27,270.0
2021-03-28,270.0
2021-03-29,259.0
2021-03-30,260.0
2021-03-31,260.0
2021-04-01,202.0
2021-04-02,202.0
2021-04-03,202.0
2021-04-04,202.0
2021-04-05,202.0
2021-04-06,240.0
2021-04-07,360.0
2021-04-08,300.0
2021-04-09,486.0
2021-04-10,486.0
2021-04-11,486.0
2021-04-12,300.0
2021-04-13,310.0
2021-04-14,294.0
2021-04-15,294.0
2021-04-16,218.0
2021-04-17,218.0
2021-04-18,218.0
2021-04-19,262.0
2021-04-20,270.0
2021-04-21,314.0
2021-04-22,332.0
2021-04-23,404.0
2021-04-24,404.0
2021-04-25,404.0
2021-04-26,386.0
2021-04-27,356.0
2021-04-28,358.0
2021-04-29,342.0
2021-04-30,358.0
2021-05-01,358.0
2021-05-02,358.0
2021-05-03,350.0
