,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,190.5
2021-01-05,198.0
2021-01-06,208.0
2021-01-07,207.0
2021-01-08,197.0
2021-01-09,197.0
2021-01-10,197.0
2021-01-11,194.0
2021-01-12,191.0
2021-01-13,192.0
2021-01-14,193.5
2021-01-15,190.5
2021-01-16,190.5
2021-01-17,190.5
2021-01-18,188.0
2021-01-19,189.0
2021-01-20,189.0
2021-01-21,185.5
2021-01-22,187.0
2021-01-23,187.0
2021-01-24,187.0
2021-01-25,187.5
2021-01-26,189.0
2021-01-27,181.0
2021-01-28,179.5
2021-01-29,180.0
2021-01-30,180.0
2021-01-31,180.0
2021-02-01,180.0
2021-02-02,183.5
2021-02-03,181.5
2021-02-04,179.0
2021-02-05,181.0
2021-02-06,181.0
2021-02-07,181.0
2021-02-08,180.0
2021-02-09,180.0
2021-02-10,178.0
2021-02-11,179.5
2021-02-12,188.0
2021-02-13,188.0
2021-02-14,188.0
2021-02-15,185.0
2021-02-16,184.0
2021-02-17,184.0
2021-02-18,181.0
2021-02-19,176.5
2021-02-20,176.5
2021-02-21,176.5
2021-02-22,179.5
2021-02-23,177.5
2021-02-24,180.0
2021-02-25,183.0
2021-02-26,182.0
2021-02-27,182.0
2021-02-28,182.0
2021-03-01,180.5
2021-03-02,178.0
2021-03-03,179.0
2021-03-04,180.0
2021-03-05,180.0
2021-03-06,180.0
2021-03-07,180.0
2021-03-08,181.0
2021-03-09,180.5
2021-03-10,181.5
2021-03-11,179.0
2021-03-12,180.0
2021-03-13,180.0
2021-03-14,180.0
2021-03-15,181.0
2021-03-16,182.0
2021-03-17,180.0
2021-03-18,184.5
2021-03-19,185.0
2021-03-20,185.0
2021-03-21,185.0
2021-03-22,189.0
2021-03-23,188.5
2021-03-24,187.5
2021-03-25,185.0
2021-03-26,189.0
2021-03-27,189.0
2021-03-28,189.0
2021-03-29,188.0
2021-03-30,188.0
2021-03-31,189.0
2021-04-01,189.0
2021-04-02,189.0
2021-04-03,189.0
2021-04-04,189.0
2021-04-05,189.0
2021-04-06,187.5
2021-04-07,190.0
2021-04-08,185.0
2021-04-09,182.5
2021-04-10,182.5
2021-04-11,182.5
2021-04-12,185.0
2021-04-13,185.5
2021-04-14,182.5
2021-04-15,183.5
2021-04-16,183.0
2021-04-17,183.0
2021-04-18,183.0
2021-04-19,182.5
2021-04-20,182.0
2021-04-21,180.5
2021-04-22,182.5
2021-04-23,183.0
2021-04-24,183.0
2021-04-25,183.0
2021-04-26,183.0
2021-04-27,183.0
2021-04-28,184.0
2021-04-29,183.0
2021-04-30,183.0
2021-05-01,183.0
2021-05-02,183.0
2021-05-03,183.0
