,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,65.5
2021-01-05,68.0
2021-01-06,71.0
2021-01-07,71.5
2021-01-08,72.0
2021-01-09,72.0
2021-01-10,72.0
2021-01-11,74.5
2021-01-12,72.5
2021-01-13,72.5
2021-01-14,71.0
2021-01-15,70.0
2021-01-16,70.0
2021-01-17,70.0
2021-01-18,71.5
2021-01-19,71.5
2021-01-20,70.5
2021-01-21,71.5
2021-01-22,70.5
2021-01-23,70.5
2021-01-24,70.5
2021-01-25,71.0
2021-01-26,67.5
2021-01-27,64.5
2021-01-28,63.5
2021-01-29,66.0
2021-01-30,66.0
2021-01-31,66.0
2021-02-01,69.0
2021-02-02,67.0
2021-02-03,66.0
2021-02-04,65.0
2021-02-05,67.5
2021-02-06,67.5
2021-02-07,67.5
2021-02-08,66.5
2021-02-09,66.5
2021-02-10,66.0
2021-02-11,66.5
2021-02-12,67.0
2021-02-13,67.0
2021-02-14,67.0
2021-02-15,66.0
2021-02-16,66.5
2021-02-17,66.0
2021-02-18,67.5
2021-02-19,66.0
2021-02-20,66.0
2021-02-21,66.0
2021-02-22,66.5
2021-02-23,65.5
2021-02-24,66.0
2021-02-25,65.5
2021-02-26,65.0
2021-02-27,65.0
2021-02-28,65.0
2021-03-01,66.5
2021-03-02,69.5
2021-03-03,69.5
2021-03-04,65.0
2021-03-05,66.5
2021-03-06,66.5
2021-03-07,66.5
2021-03-08,65.0
2021-03-09,65.0
2021-03-10,64.0
2021-03-11,65.0
2021-03-12,65.0
2021-03-13,65.0
2021-03-14,65.0
2021-03-15,65.0
2021-03-16,65.0
2021-03-17,64.5
2021-03-18,65.0
2021-03-19,65.0
2021-03-20,65.0
2021-03-21,65.0
2021-03-22,65.0
2021-03-23,65.5
2021-03-24,64.0
2021-03-25,64.5
2021-03-26,65.0
2021-03-27,65.0
2021-03-28,65.0
2021-03-29,65.0
2021-03-30,64.5
2021-03-31,65.0
2021-04-01,65.0
2021-04-02,65.0
2021-04-03,65.0
2021-04-04,65.0
2021-04-05,65.0
2021-04-06,65.80000305175781
2021-04-07,65.19999694824219
2021-04-08,66.0
2021-04-09,67.5999984741211
2021-04-10,67.5999984741211
2021-04-11,67.5999984741211
2021-04-12,69.80000305175781
2021-04-13,67.5999984741211
2021-04-14,68.80000305175781
2021-04-15,66.80000305175781
2021-04-16,67.4000015258789
2021-04-17,67.4000015258789
2021-04-18,67.4000015258789
2021-04-19,67.80000305175781
2021-04-20,69.0
2021-04-21,70.0
2021-04-22,68.4000015258789
2021-04-23,68.0
2021-04-24,68.0
2021-04-25,68.0
2021-04-26,69.0
2021-04-27,70.0
2021-04-28,71.19999694824219
2021-04-29,73.0
2021-04-30,73.0
2021-05-01,73.0
2021-05-02,73.0
2021-05-03,74.0
